Gene stable ID	Gene stable ID version	NCBI gene ID	HGNC symbol
ENSG00000165731	ENSG00000165731.18	5979	RET
ENSG00000227871	ENSG00000227871.1		USP9YP12
ENSG00000128917	ENSG00000128917.6	54567	DLL4
ENSG00000231423	ENSG00000231423.1		RAB9AP5
ENSG00000095713	ENSG00000095713.13	55118	CRTAC1
ENSG00000228465	ENSG00000228465.1		TRAPPC2P10
ENSG00000278723	ENSG00000278723.1	115653	KIR3DL3
ENSG00000129317	ENSG00000129317.14	83448	PUS7L
ENSG00000214455	ENSG00000214455.4		RCN1P2
ENSG00000228886	ENSG00000228886.1		
ENSG00000146938	ENSG00000146938.14	57502	NLGN4X
ENSG00000281839	ENSG00000281839.1	101927120	
ENSG00000282226	ENSG00000282226.1		
ENSG00000276777	ENSG00000276777.1		ARMC4P1
ENSG00000164007	ENSG00000164007.10	149461	CLDN19
ENSG00000229335	ENSG00000229335.1		DANT1
ENSG00000275336	ENSG00000275336.1		
ENSG00000227604	ENSG00000227604.3		TOMM22P3
ENSG00000279601	ENSG00000279601.1		
ENSG00000262513	ENSG00000262513.1		
ENSG00000235244	ENSG00000235244.3	642776	DANT2
ENSG00000259405	ENSG00000259405.1		ISCA1P4
ENSG00000281687	ENSG00000281687.1		SDHAP2
ENSG00000187808	ENSG00000187808.4	347454	SOWAHD
ENSG00000231371	ENSG00000231371.1		AKR1B1P8
ENSG00000261135	ENSG00000261135.1		
ENSG00000273681	ENSG00000273681.1		FAM210CP
ENSG00000281060	ENSG00000281060.2		LINC00969
ENSG00000049768	ENSG00000049768.14	50943	FOXP3
ENSG00000229163	ENSG00000229163.2		NAP1L1P2
ENSG00000278364	ENSG00000278364.1		TRIAP1P1
ENSG00000133116	ENSG00000133116.7	9365	KL
ENSG00000129824	ENSG00000129824.15	6192	RPS4Y1
ENSG00000109047	ENSG00000109047.7	5957	RCVRN
ENSG00000282302	ENSG00000282302.2	10801	SEPT9
ENSG00000198918	ENSG00000198918.7	6170	RPL39
ENSG00000227458	ENSG00000227458.8	135644	TRIM40
ENSG00000277286	ENSG00000277286.1		KIR2DP1
ENSG00000234558	ENSG00000234558.1		API5P1
ENSG00000282649	ENSG00000282649.1	105371907	
ENSG00000235499	ENSG00000235499.1		
ENSG00000249458	ENSG00000249458.1		
ENSG00000282753	ENSG00000282753.1		
ENSG00000250263	ENSG00000250263.1	105377556	LINC02509
ENSG00000180772	ENSG00000180772.6	186	AGTR2
ENSG00000282685	ENSG00000282685.1	100128338	FAM83H-AS1
ENSG00000249008	ENSG00000249008.1		
ENSG00000224174	ENSG00000224174.2		
ENSG00000233869	ENSG00000233869.1		RPSAP27
ENSG00000228111	ENSG00000228111.1		TPT1P2
ENSG00000276595	ENSG00000276595.4	374308	PTCHD3
ENSG00000036828	ENSG00000036828.15	846	CASR
ENSG00000109674	ENSG00000109674.3	55247	NEIL3
ENSG00000268104	ENSG00000268104.2	11254	SLC6A14
ENSG00000275985	ENSG00000275985.1		ANKRD30BP3
ENSG00000278121	ENSG00000278121.1		
ENSG00000230060	ENSG00000230060.6	80739	MPIG6B
ENSG00000173662	ENSG00000173662.20	80835	TAS1R1
ENSG00000152782	ENSG00000152782.16	53354	PANK1
ENSG00000282156	ENSG00000282156.1		
ENSG00000227289	ENSG00000227289.1		HSFY3P
ENSG00000273495	ENSG00000273495.1		CUBNP2
ENSG00000282075	ENSG00000282075.1		
ENSG00000279809	ENSG00000279809.1		
ENSG00000274650	ENSG00000274650.1		OR6D1P
ENSG00000224287	ENSG00000224287.2	151507	MSL3P1
ENSG00000277602	ENSG00000277602.1		
ENSG00000249084	ENSG00000249084.1		
ENSG00000230794	ENSG00000230794.1		
ENSG00000234008	ENSG00000234008.5		PPP1R2P2
ENSG00000123091	ENSG00000123091.4	26994	RNF11
ENSG00000115275	ENSG00000115275.11	7841	MOGS
ENSG00000234703	ENSG00000234703.1		
ENSG00000278738	ENSG00000278738.5	3802	KIR2DL1
ENSG00000223671	ENSG00000223671.2		RPL34P3
ENSG00000101421	ENSG00000101421.3	128866	CHMP4B
ENSG00000130545	ENSG00000130545.15	92359	CRB3
ENSG00000229761	ENSG00000229761.1		RPS20P1
ENSG00000231300	ENSG00000231300.1		EZH2P1
ENSG00000159216	ENSG00000159216.18	861	RUNX1
ENSG00000159216	ENSG00000159216.18	100506403	RUNX1
ENSG00000168826	ENSG00000168826.15	166793	ZBTB49
ENSG00000225284	ENSG00000225284.1		
ENSG00000274334	ENSG00000274334.1	114990	VASN
ENSG00000225676	ENSG00000225676.1		
ENSG00000236434	ENSG00000236434.2		
ENSG00000135821	ENSG00000135821.17	2752	GLUL
ENSG00000233406	ENSG00000233406.5		
ENSG00000279445	ENSG00000279445.2		
ENSG00000276959	ENSG00000276959.1	79165	LENG1
ENSG00000068323	ENSG00000068323.16	7030	TFE3
ENSG00000232585	ENSG00000232585.1		OFD1P12Y
ENSG00000277477	ENSG00000277477.1		KIR3DP1
ENSG00000277600	ENSG00000277600.4	4849	CNOT3
ENSG00000175841	ENSG00000175841.8		FAM172BP
ENSG00000271661	ENSG00000271661.1		BNIP3P36
ENSG00000228029	ENSG00000228029.1		HLA-W
ENSG00000257135	ENSG00000257135.5		
ENSG00000269067	ENSG00000269067.1	388523	ZNF728
ENSG00000226995	ENSG00000226995.7	100507629	LINC00658
ENSG00000235814	ENSG00000235814.6	80862	ZNRD1ASP
ENSG00000179029	ENSG00000179029.14	84314	TMEM107
ENSG00000164815	ENSG00000164815.10	5001	ORC5
ENSG00000234081	ENSG00000234081.1		ELOCP10
ENSG00000278271	ENSG00000278271.1	3805	KIR2DL4
ENSG00000224090	ENSG00000224090.1	100129175	
ENSG00000281651	ENSG00000281651.1		
ENSG00000038002	ENSG00000038002.8	175	AGA
ENSG00000261558	ENSG00000261558.1	101929164	LINC01859
ENSG00000172352	ENSG00000172352.5	253175	CDY1B
ENSG00000261615	ENSG00000261615.6	101929144	LINC01858
ENSG00000281914	ENSG00000281914.1		
ENSG00000277495	ENSG00000277495.4	79290	OR13A1
ENSG00000224215	ENSG00000224215.1		
ENSG00000129255	ENSG00000129255.15	9526	MPDU1
ENSG00000174173	ENSG00000174173.6	54931	TRMT10C
ENSG00000281151	ENSG00000281151.2	3785	KCNQ2
ENSG00000179133	ENSG00000179133.12	256815	C10orf67
ENSG00000217258	ENSG00000217258.2		
ENSG00000255173	ENSG00000255173.1		
ENSG00000275234	ENSG00000275234.1		
ENSG00000174276	ENSG00000174276.6	741	ZNHIT2
ENSG00000259726	ENSG00000259726.1		CSPG4P11
ENSG00000205744	ENSG00000205744.9	79958	DENND1C
ENSG00000109519	ENSG00000109519.12	80273	GRPEL1
ENSG00000178397	ENSG00000178397.12	84792	FAM220A
ENSG00000269543	ENSG00000269543.5		
ENSG00000230563	ENSG00000230563.2		
ENSG00000226345	ENSG00000226345.1		
ENSG00000271118	ENSG00000271118.1		
ENSG00000225822	ENSG00000225822.4		UBXN7-AS1
ENSG00000232936	ENSG00000232936.5		
ENSG00000163960	ENSG00000163960.11	26043	UBXN7
ENSG00000159167	ENSG00000159167.11	6781	STC1
ENSG00000205181	ENSG00000205181.5	149837	LINC00654
ENSG00000224946	ENSG00000224946.1		
ENSG00000231375	ENSG00000231375.1		CDY17P
ENSG00000267920	ENSG00000267920.1		SNX6P1
ENSG00000259724	ENSG00000259724.1	101927112	LINC01581
ENSG00000249962	ENSG00000249962.1		
ENSG00000225836	ENSG00000225836.1		
ENSG00000268105	ENSG00000268105.1		
ENSG00000237730	ENSG00000237730.1		
ENSG00000266908	ENSG00000266908.1		
ENSG00000260188	ENSG00000260188.1		
ENSG00000258627	ENSG00000258627.1		
ENSG00000227537	ENSG00000227537.1		
ENSG00000237467	ENSG00000237467.1		USP9YP35
ENSG00000183850	ENSG00000183850.13	100129543	ZNF730
ENSG00000258631	ENSG00000258631.2		
ENSG00000219559	ENSG00000219559.1		
ENSG00000254900	ENSG00000254900.1		
ENSG00000255144	ENSG00000255144.1		
ENSG00000270558	ENSG00000270558.1		
ENSG00000258754	ENSG00000258754.7	105369203	LINC01579
ENSG00000257193	ENSG00000257193.1		LINC02385
ENSG00000270934	ENSG00000270934.1		
ENSG00000102218	ENSG00000102218.5	6102	RP2
ENSG00000187605	ENSG00000187605.15	200424	TET3
ENSG00000240996	ENSG00000240996.1		
ENSG00000253891	ENSG00000253891.1		
ENSG00000125351	ENSG00000125351.11	65109	UPF3B
ENSG00000235100	ENSG00000235100.3		
ENSG00000081154	ENSG00000081154.11	57092	PCNP
ENSG00000270479	ENSG00000270479.1		BNIP3P37
ENSG00000267886	ENSG00000267886.1		
ENSG00000279032	ENSG00000279032.1		
ENSG00000268812	ENSG00000268812.3	91370	
ENSG00000278952	ENSG00000278952.1		
ENSG00000128342	ENSG00000128342.4	3976	LIF
ENSG00000115226	ENSG00000115226.9	64838	FNDC4
ENSG00000253528	ENSG00000253528.2		
ENSG00000156170	ENSG00000156170.12	137682	NDUFAF6
ENSG00000163913	ENSG00000163913.11	55764	IFT122
ENSG00000240833	ENSG00000240833.5	414778	HCG17
ENSG00000204904	ENSG00000204904.7	724087	LINC01545
ENSG00000167483	ENSG00000167483.17	199786	FAM129C
ENSG00000232345	ENSG00000232345.1		MICD
ENSG00000237884	ENSG00000237884.1		HCG4P3
ENSG00000258785	ENSG00000258785.5	101927129	LINC01580
ENSG00000138029	ENSG00000138029.13	3032	HADHB
ENSG00000273884	ENSG00000273884.4	11026	LILRA3
ENSG00000206505	ENSG00000206505.13	3105	HLA-A
ENSG00000232530	ENSG00000232530.1	110806283	LIF-AS1
ENSG00000258831	ENSG00000258831.1		
ENSG00000229929	ENSG00000229929.10	56658	TRIM39
ENSG00000257896	ENSG00000257896.1		
ENSG00000259123	ENSG00000259123.1		
ENSG00000258895	ENSG00000258895.1		
ENSG00000124104	ENSG00000124104.18	90203	SNX21
ENSG00000258476	ENSG00000258476.5		LINC02207
ENSG00000155111	ENSG00000155111.14	23097	CDK19
ENSG00000242299	ENSG00000242299.1		
ENSG00000230119	ENSG00000230119.1		
ENSG00000173705	ENSG00000173705.8	26032	SUSD5
ENSG00000225640	ENSG00000225640.1	101929207	LINC01729
ENSG00000274971	ENSG00000274971.1		
ENSG00000225831	ENSG00000225831.1		RPS18P1
ENSG00000163811	ENSG00000163811.11	23160	WDR43
ENSG00000282519	ENSG00000282519.1	100128338	IQANK1
ENSG00000131808	ENSG00000131808.10	2488	FSHB
ENSG00000225151	ENSG00000225151.10		GOLGA2P7
ENSG00000233421	ENSG00000233421.4	100132147	LINC01783
ENSG00000159433	ENSG00000159433.11	57519	STARD9
ENSG00000248611	ENSG00000248611.1		
ENSG00000099985	ENSG00000099985.3	5008	OSM
ENSG00000279181	ENSG00000279181.1		
ENSG00000158773	ENSG00000158773.14	7391	USF1
ENSG00000128965	ENSG00000128965.11	79094	CHAC1
ENSG00000204019	ENSG00000204019.4	203413	CT83
ENSG00000171953	ENSG00000171953.15	91647	ATPAF2
ENSG00000263130	ENSG00000263130.1		
ENSG00000263163	ENSG00000263163.5	11000	SLC27A3
ENSG00000122033	ENSG00000122033.14	219402	MTIF3
ENSG00000236077	ENSG00000236077.2		
ENSG00000188015	ENSG00000188015.9	6274	S100A3
ENSG00000111615	ENSG00000111615.13	11103	KRR1
ENSG00000197448	ENSG00000197448.13	373156	GSTK1
ENSG00000224326	ENSG00000224326.1		
ENSG00000255973	ENSG00000255973.1		
ENSG00000234184	ENSG00000234184.5	101927412	LINC01781
ENSG00000236183	ENSG00000236183.2	80740	LY6G6C
ENSG00000047617	ENSG00000047617.14	57101	ANO2
ENSG00000231908	ENSG00000231908.1	100507475	IDH1-AS1
ENSG00000138413	ENSG00000138413.13	3417	IDH1
ENSG00000196154	ENSG00000196154.11	6275	S100A4
ENSG00000275347	ENSG00000275347.2		
ENSG00000274939	ENSG00000274939.2	414059	TBC1D3B
ENSG00000274939	ENSG00000274939.2	414060	TBC1D3B
ENSG00000277232	ENSG00000277232.2	150384	GTSE1-AS1
ENSG00000225710	ENSG00000225710.1		
ENSG00000163749	ENSG00000163749.17	339965	CCDC158
ENSG00000123575	ENSG00000123575.8	139231	FAM199X
ENSG00000187955	ENSG00000187955.11	7373	COL14A1
ENSG00000276836	ENSG00000276836.4	201176	ARHGAP27
ENSG00000263243	ENSG00000263243.2	3859	KRT12
ENSG00000101473	ENSG00000101473.16	10005	ACOT8
ENSG00000128578	ENSG00000128578.9	57464	STRIP2
ENSG00000264450	ENSG00000264450.1		
ENSG00000133121	ENSG00000133121.20	90627	STARD13
ENSG00000260282	ENSG00000260282.1		EIF4EBP2P2
ENSG00000102879	ENSG00000102879.15	11151	CORO1A
ENSG00000261798	ENSG00000261798.1	101929536	
ENSG00000229213	ENSG00000229213.1		
ENSG00000284678	ENSG00000284678.1		
ENSG00000284719	ENSG00000284719.1		
ENSG00000217089	ENSG00000217089.1		RPS29P13
ENSG00000214765	ENSG00000214765.8		SEPT7P2
ENSG00000245468	ENSG00000245468.3		LINC02447
ENSG00000219481	ENSG00000219481.10	101930059	NBPF1
ENSG00000122034	ENSG00000122034.14	2971	GTF3A
ENSG00000075218	ENSG00000075218.18	51512	GTSE1
ENSG00000275151	ENSG00000275151.1		
ENSG00000281767	ENSG00000281767.1		
ENSG00000170162	ENSG00000170162.13	245806	VGLL2
ENSG00000281349	ENSG00000281349.1	105375115	
ENSG00000152219	ENSG00000152219.4	120534	ARL14EP
ENSG00000274882	ENSG00000274882.4		LINC02109
ENSG00000240426	ENSG00000240426.1		
ENSG00000249858	ENSG00000249858.2		SNX5P1
ENSG00000228772	ENSG00000228772.2		
ENSG00000233358	ENSG00000233358.2		
ENSG00000282348	ENSG00000282348.1		
ENSG00000263275	ENSG00000263275.1		
ENSG00000115282	ENSG00000115282.19	64427	TTC31
ENSG00000218476	ENSG00000218476.2		
ENSG00000260500	ENSG00000260500.1		
ENSG00000260001	ENSG00000260001.6	100507588	TGFBR3L
ENSG00000171962	ENSG00000171962.17	83450	DRC3
ENSG00000262826	ENSG00000262826.5	65123	INTS3
ENSG00000260522	ENSG00000260522.1		
ENSG00000121579	ENSG00000121579.12	80218	NAA50
ENSG00000261122	ENSG00000261122.6	400533	LINC02167
ENSG00000239919	ENSG00000239919.1		SNRPGP3
ENSG00000247796	ENSG00000247796.2	257396	
ENSG00000235820	ENSG00000235820.1		
ENSG00000227982	ENSG00000227982.1		RPL7P30
ENSG00000243396	ENSG00000243396.1		
ENSG00000164172	ENSG00000164172.18	4338	MOCS2
ENSG00000235139	ENSG00000235139.2	101927378	
ENSG00000281113	ENSG00000281113.1		
ENSG00000226489	ENSG00000226489.1		
ENSG00000281087	ENSG00000281087.1		
ENSG00000130703	ENSG00000130703.15	9885	OSBPL2
ENSG00000115520	ENSG00000115520.8	80219	COQ10B
ENSG00000239927	ENSG00000239927.6	79897	RPP21
ENSG00000239927	ENSG00000239927.6	202658	RPP21
ENSG00000139278	ENSG00000139278.9	11010	GLIPR1
ENSG00000123576	ENSG00000123576.5	80712	ESX1
ENSG00000228434	ENSG00000228434.1		
ENSG00000241057	ENSG00000241057.2		
ENSG00000239556	ENSG00000239556.3		
ENSG00000136206	ENSG00000136206.3	285955	SPDYE1
ENSG00000132463	ENSG00000132463.13	2926	GRSF1
ENSG00000235243	ENSG00000235243.1		
ENSG00000232605	ENSG00000232605.2		HMGN2P11
ENSG00000226827	ENSG00000226827.1		NPM1P11
ENSG00000213150	ENSG00000213150.2		
ENSG00000232019	ENSG00000232019.1		
ENSG00000230435	ENSG00000230435.1		
ENSG00000219150	ENSG00000219150.2		
ENSG00000230333	ENSG00000230333.6		
ENSG00000280325	ENSG00000280325.1		
ENSG00000217041	ENSG00000217041.1		
ENSG00000272655	ENSG00000272655.2		POLR2J4
ENSG00000229251	ENSG00000229251.3		HNRNPA1P8
ENSG00000174448	ENSG00000174448.8	147323	STARD6
ENSG00000271334	ENSG00000271334.5	101926940	LINC02104
ENSG00000251515	ENSG00000251515.1		CCDC11P1
ENSG00000078967	ENSG00000078967.12	51619	UBE2D4
ENSG00000239280	ENSG00000239280.1		
ENSG00000250492	ENSG00000250492.1		INTS6P1
ENSG00000260611	ENSG00000260611.1		
ENSG00000272509	ENSG00000272509.1		
ENSG00000261620	ENSG00000261620.1		HMGN2P41
ENSG00000227937	ENSG00000227937.1		MTND2P30
ENSG00000245080	ENSG00000245080.7	105375650	MIR3150BHG
ENSG00000235743	ENSG00000235743.1		
ENSG00000261515	ENSG00000261515.1		VN1R70P
ENSG00000104953	ENSG00000104953.19	79816	TLE6
ENSG00000261782	ENSG00000261782.1		
ENSG00000229752	ENSG00000229752.1		RPL7P10
ENSG00000279666	ENSG00000279666.1		
ENSG00000219453	ENSG00000219453.1		
ENSG00000257497	ENSG00000257497.2		
ENSG00000189108	ENSG00000189108.12	26280	IL1RAPL2
ENSG00000188921	ENSG00000188921.13	401494	HACD4
ENSG00000235089	ENSG00000235089.1		
ENSG00000261084	ENSG00000261084.1		PPP1R1AP2
ENSG00000164941	ENSG00000164941.13	55656	INTS8
ENSG00000103966	ENSG00000103966.10	30844	EHD4
ENSG00000278128	ENSG00000278128.1		
ENSG00000218512	ENSG00000218512.2		SPTLC1P2
ENSG00000005108	ENSG00000005108.15	221981	THSD7A
ENSG00000166845	ENSG00000166845.13	162681	C18orf54
ENSG00000233033	ENSG00000233033.1		CASK-AS1
ENSG00000232665	ENSG00000232665.2		PHBP10
ENSG00000147044	ENSG00000147044.20	8573	CASK
ENSG00000223733	ENSG00000223733.1		RPL18AP14
ENSG00000248651	ENSG00000248651.1		GCSHP1
ENSG00000181819	ENSG00000181819.14		KCTD9P2
ENSG00000275253	ENSG00000275253.1	100132285	KIR2DS2
ENSG00000268629	ENSG00000268629.6	56157	TEX13A
ENSG00000250048	ENSG00000250048.2		LINC00603
ENSG00000277251	ENSG00000277251.5	3803	KIR2DL2
ENSG00000265273	ENSG00000265273.1		PGDP1
ENSG00000204822	ENSG00000204822.6	116540	MRPL53
ENSG00000266105	ENSG00000266105.1		
ENSG00000260622	ENSG00000260622.1		
ENSG00000261096	ENSG00000261096.1		
ENSG00000280380	ENSG00000280380.1		
ENSG00000249668	ENSG00000249668.1		KRT18P56
ENSG00000143434	ENSG00000143434.15	10500	SEMA6C
ENSG00000230208	ENSG00000230208.1		IFNNP1
ENSG00000236759	ENSG00000236759.7	10919	EHMT2
ENSG00000250585	ENSG00000250585.2		LINC00604
ENSG00000243789	ENSG00000243789.10	100137047	JMJD7
ENSG00000163273	ENSG00000163273.3	4880	NPPC
ENSG00000176912	ENSG00000176912.3		TYMSOS
ENSG00000135637	ENSG00000135637.13	84865	CCDC142
ENSG00000231840	ENSG00000231840.1		
ENSG00000185686	ENSG00000185686.17	23532	PRAME
ENSG00000178826	ENSG00000178826.10	135932	TMEM139
ENSG00000280369	ENSG00000280369.1		
ENSG00000171855	ENSG00000171855.6	3456	IFNB1
ENSG00000259802	ENSG00000259802.1		
ENSG00000242227	ENSG00000242227.6	3139	HLA-L
ENSG00000235920	ENSG00000235920.1		
ENSG00000263727	ENSG00000263727.1		
ENSG00000283286	ENSG00000283286.1		
ENSG00000267116	ENSG00000267116.1		
ENSG00000281179	ENSG00000281179.1		
ENSG00000102981	ENSG00000102981.9	50855	PARD6A
ENSG00000265490	ENSG00000265490.1		
ENSG00000233350	ENSG00000233350.1		TRIM26BP
ENSG00000224619	ENSG00000224619.6		HCG18
ENSG00000068078	ENSG00000068078.17	2261	FGFR3
ENSG00000176890	ENSG00000176890.15	7298	TYMS
ENSG00000236754	ENSG00000236754.5		
ENSG00000138182	ENSG00000138182.14	9585	KIF20B
ENSG00000182902	ENSG00000182902.13	83733	SLC25A18
ENSG00000099795	ENSG00000099795.6	4713	NDUFB7
ENSG00000281898	ENSG00000281898.1		
ENSG00000224821	ENSG00000224821.5		COL4A2-AS2
ENSG00000214200	ENSG00000214200.2		TPM3P2
ENSG00000243708	ENSG00000243708.10	100137049	PLA2G4B
ENSG00000267072	ENSG00000267072.2		NAGPA-AS1
ENSG00000228958	ENSG00000228958.1		PIGPP3
ENSG00000065970	ENSG00000065970.8	55810	FOXJ2
ENSG00000033011	ENSG00000033011.11	56052	ALG1
ENSG00000225240	ENSG00000225240.1		
ENSG00000279237	ENSG00000279237.1		
ENSG00000273432	ENSG00000273432.1		
ENSG00000274254	ENSG00000274254.1	115653	KIR3DL3
ENSG00000244283	ENSG00000244283.1		RPL23AP73
ENSG00000102221	ENSG00000102221.13	9767	JADE3
ENSG00000187626	ENSG00000187626.8	387032	ZKSCAN4
ENSG00000262990	ENSG00000262990.1		
ENSG00000232814	ENSG00000232814.2	100874203	COL4A2-AS1
ENSG00000237874	ENSG00000237874.2		
ENSG00000214783	ENSG00000214783.9	84820	POLR2J4
ENSG00000230273	ENSG00000230273.1		
ENSG00000280198	ENSG00000280198.1		
ENSG00000232344	ENSG00000232344.2		
ENSG00000273013	ENSG00000273013.1		
ENSG00000163961	ENSG00000163961.4	165918	RNF168
ENSG00000154451	ENSG00000154451.14	115362	GBP5
ENSG00000263057	ENSG00000263057.2	54474	KRT20
ENSG00000275565	ENSG00000275565.4	240	ALOX5
ENSG00000203877	ENSG00000203877.8	134701	RIPPLY2
ENSG00000261468	ENSG00000261468.1		
ENSG00000271732	ENSG00000271732.1		
ENSG00000257636	ENSG00000257636.6		G2E3-AS1
ENSG00000092140	ENSG00000092140.14	55632	G2E3
ENSG00000168970	ENSG00000168970.22	8681	JMJD7-PLA2G4B
ENSG00000084754	ENSG00000084754.10	3030	HADHA
ENSG00000220891	ENSG00000220891.1	648691	
ENSG00000262487	ENSG00000262487.1		
ENSG00000263309	ENSG00000263309.6	25984	KRT23
ENSG00000165312	ENSG00000165312.6	220213	OTUD1
ENSG00000101958	ENSG00000101958.13	2742	GLRA2
ENSG00000159761	ENSG00000159761.14	388284	C16orf86
ENSG00000228913	ENSG00000228913.2	10537	UBD
ENSG00000224800	ENSG00000224800.1		RPS27AP6
ENSG00000236158	ENSG00000236158.1		RFC3P1
ENSG00000229357	ENSG00000229357.1		CYCSP51
ENSG00000161960	ENSG00000161960.14	1973	EIF4A1
ENSG00000283324	ENSG00000283324.1		CTXND2
ENSG00000236104	ENSG00000236104.2	9278	ZBTB22
ENSG00000282836	ENSG00000282836.1		
ENSG00000154734	ENSG00000154734.14	9510	ADAMTS1
ENSG00000229185	ENSG00000229185.4	7932	OR2H2
ENSG00000278950	ENSG00000278950.1		
ENSG00000279780	ENSG00000279780.1		
ENSG00000205549	ENSG00000205549.8	100129385	C9orf92
ENSG00000226796	ENSG00000226796.2		OR2H5P
ENSG00000203730	ENSG00000203730.2	127670	TEDDM1
ENSG00000228265	ENSG00000228265.5	101926888	RALY-AS1
ENSG00000230181	ENSG00000230181.1		RPL13AP
ENSG00000279795	ENSG00000279795.1		
ENSG00000280227	ENSG00000280227.1		
ENSG00000261056	ENSG00000261056.2		
ENSG00000124074	ENSG00000124074.11	84080	ENKD1
ENSG00000237568	ENSG00000237568.1		
ENSG00000260158	ENSG00000260158.1		
ENSG00000279589	ENSG00000279589.1		
ENSG00000261719	ENSG00000261719.1		
ENSG00000261291	ENSG00000261291.1		
ENSG00000189134	ENSG00000189134.3	222698	NKAPL
ENSG00000259934	ENSG00000259934.1		
ENSG00000270914	ENSG00000270914.1		
ENSG00000275784	ENSG00000275784.1		
ENSG00000224600	ENSG00000224600.5		
ENSG00000259303	ENSG00000259303.5		IGHV2OR16-5
ENSG00000266824	ENSG00000266824.1		
ENSG00000125977	ENSG00000125977.6	8894	EIF2S2
ENSG00000279925	ENSG00000279925.1		
ENSG00000177200	ENSG00000177200.16	80205	CHD9
ENSG00000257268	ENSG00000257268.1		
ENSG00000279152	ENSG00000279152.1		
ENSG00000241286	ENSG00000241286.2		RPL29P25
ENSG00000071889	ENSG00000071889.16	60343	FAM3A
ENSG00000196544	ENSG00000196544.7	54785	BORCS6
ENSG00000260047	ENSG00000260047.2		BCAP31P2
ENSG00000000938	ENSG00000000938.12	2268	FGR
ENSG00000271002	ENSG00000271002.1		
ENSG00000279491	ENSG00000279491.1		
ENSG00000244176	ENSG00000244176.1		
ENSG00000214617	ENSG00000214617.9	386757	SLC6A10P
ENSG00000254424	ENSG00000254424.1		
ENSG00000255553	ENSG00000255553.1		
ENSG00000270443	ENSG00000270443.1		
ENSG00000233537	ENSG00000233537.1		TEDDM2P
ENSG00000203729	ENSG00000203729.8	388719	LINC00272
ENSG00000121446	ENSG00000121446.18	353299	RGSL1
ENSG00000214614	ENSG00000214614.2		
ENSG00000233551	ENSG00000233551.2		LSM1P1
ENSG00000230694	ENSG00000230694.1		
ENSG00000157578	ENSG00000157578.13	150082	LCA5L
ENSG00000273008	ENSG00000273008.1		
ENSG00000231756	ENSG00000231756.1		
ENSG00000169826	ENSG00000169826.7	55454	CSGALNACT2
ENSG00000173068	ENSG00000173068.17	54796	BNC2
ENSG00000125970	ENSG00000125970.11	22913	RALY
ENSG00000174738	ENSG00000174738.12	9975	NR1D2
ENSG00000214097	ENSG00000214097.4	255798	SMCO1
ENSG00000283118	ENSG00000283118.1		
ENSG00000279166	ENSG00000279166.1		
ENSG00000213714	ENSG00000213714.1	388799	FAM209B
ENSG00000279285	ENSG00000279285.1		
ENSG00000224200	ENSG00000224200.2	63943	FKBPL
ENSG00000281550	ENSG00000281550.1		
ENSG00000169554	ENSG00000169554.18	9839	ZEB2
ENSG00000185115	ENSG00000185115.5	56160	NSMCE3
ENSG00000267643	ENSG00000267643.1		
ENSG00000278263	ENSG00000278263.2		
ENSG00000236581	ENSG00000236581.8	100874241	STARD13-AS
ENSG00000259690	ENSG00000259690.1		
ENSG00000280655	ENSG00000280655.1		
ENSG00000187912	ENSG00000187912.11	388512	CLEC17A
ENSG00000104059	ENSG00000104059.4	23359	FAM189A1
ENSG00000225027	ENSG00000225027.2		IFNWP4
ENSG00000223536	ENSG00000223536.5		
ENSG00000275980	ENSG00000275980.1		
ENSG00000173093	ENSG00000173093.12	160762	CCDC63
ENSG00000278493	ENSG00000278493.1		
ENSG00000267076	ENSG00000267076.1		CCDC58P3
ENSG00000267733	ENSG00000267733.5		
ENSG00000137877	ENSG00000137877.9	51332	SPTBN5
ENSG00000262164	ENSG00000262164.6	390792	KRT39
ENSG00000136378	ENSG00000136378.14	11173	ADAMTS7
ENSG00000261416	ENSG00000261416.1		
ENSG00000140506	ENSG00000140506.16	79748	LMAN1L
ENSG00000224059	ENSG00000224059.1		HSPA8P16
ENSG00000153993	ENSG00000153993.13	223117	SEMA3D
ENSG00000224604	ENSG00000224604.1		
ENSG00000230300	ENSG00000230300.1		STARD13-IT1
ENSG00000259299	ENSG00000259299.1		
ENSG00000237670	ENSG00000237670.1		LINC01866
ENSG00000277386	ENSG00000277386.1		
ENSG00000227911	ENSG00000227911.3		LINC02344
ENSG00000233785	ENSG00000233785.1		
ENSG00000263917	ENSG00000263917.1		
ENSG00000274275	ENSG00000274275.1		
ENSG00000232746	ENSG00000232746.1	105376955	LINC02022
ENSG00000237860	ENSG00000237860.1		
ENSG00000265279	ENSG00000265279.1		CLUHP6
ENSG00000230159	ENSG00000230159.1		
ENSG00000264982	ENSG00000264982.1		
ENSG00000214917	ENSG00000214917.3		
ENSG00000075035	ENSG00000075035.9	9671	WSCD2
ENSG00000215492	ENSG00000215492.6		HNRNPA1P7
ENSG00000233917	ENSG00000233917.8	100996331	POTEB
ENSG00000233917	ENSG00000233917.8	102724631	POTEB
ENSG00000248516	ENSG00000248516.1		
ENSG00000141441	ENSG00000141441.15	64762	GAREM1
ENSG00000007237	ENSG00000007237.18	8522	GAS7
ENSG00000224217	ENSG00000224217.1		
ENSG00000276446	ENSG00000276446.1	102724323	
ENSG00000213526	ENSG00000213526.3		SETP8
